path,methods,handler,line,product_area,surface,auth_decorators,has_auth_decorator,render,render_detail,alias_of,alias_count
/,GET,home,1279,Root,page,,False,jinja_template,index.html,,1
/.well-known/apple-app-site-association,GET,pulse_apple_app_site_association,112044,.Well-Known,page,,False,json_api,,,1
/.well-known/assetlinks.json,GET,pulse_android_asset_links,112060,.Well-Known,page,,False,json_api,,,1
/4d4dc0c2c0f94b7bb8184fd91b7f0b1e.txt,GET,indexnow_key_txt,24793,4D4Dc0C2C0F94B7Bb8184Fd91B7F0B1E.Txt,page,,False,other,,/indexnow-key.txt,2
/<slug>,GET,seo_topic_page,2172,<Slug>,page,,False,other,,,1
/about,GET,about_page,1671,About,page,,False,inline_html,clean_html,,1
/account,GET,account_page,6826,Account,page,,False,redirect,,,1
/account/delete,"GET,POST",account_delete_page,6837,Account,page,,False,redirect,,,1
/account/security,GET,account_security_notification_redirect,34021,Account,page,,False,redirect,,,1
/account/settings,"GET,POST",account_settings_page,12146,Account,page,,False,inline_html,clean_html,/settings,2
/admin,GET,admin_root_page,13896,Operations / Admin,admin,,False,redirect,,,1
/admin-dashboard,GET,admin_dashboard_route,109648,Admin-Dashboard,admin,,False,other,,,1
/admin/account-command,GET,admin_account_command_page,10398,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/account-command/<section_key>,GET,admin_account_command_section_page,10559,Operations / Admin,admin,,False,inline_html,clean_html,,1
/admin/account-command/verifications/<int:request_id>/decision,POST,admin_account_command_verification_decision,10604,Operations / Admin,admin,,False,inline_html,clean_html,,1
/admin/admins,GET,admin_admins_page,22865,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/admins/<int:admin_id>/edit,"GET,POST",admin_admin_edit_page,22996,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/admins/new,"GET,POST",admin_admin_new_page,22935,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/ads-command-center,GET,admin_ads_command_center_page,91393,Operations / Admin,admin,,False,inline_html,admin_page_html,/admin/growth-engine,2
/admin/ads-command-center/<section_key>,GET,admin_ads_command_center_section_page,91456,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/ai-actions,"GET,POST",admin_ai_actions_page,92169,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/ai-actions/<int:rec_id>,"GET,POST",admin_ai_action_detail_page,92220,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
/admin/ai-command,GET,admin_ai_command_page,92386,Operations / Admin,admin,,False,inline_html,admin_page_html,,1
